ds,yhat,yhat_lower,yhat_upper,trend,yearly
2023-01-01,13.85250545732955,11.907796846777812,15.779833275057479,5.8073348000000005,1.3853464514099563
2023-02-01,13.719327808736642,11.78501480035473,15.666557957554916,5.812982790771831,1.3601184284454122
2023-03-01,15.455793483727406,13.552952955176334,17.4878798906911,5.818084202730366,1.6565090750103213
2023-04-01,18.57129519010341,16.644908516109368,20.30635342683755,5.8237321923525345,2.188899244798792
2023-05-01,14.37135777406358,12.607607295714732,16.26679531831284,5.829197989478922,1.4654091008749988
2023-06-01,14.21351471386997,12.33842923192305,16.08216390593151,5.834845977304404,1.435970849814336
2023-07-01,21.3020261711751,19.527067112191478,23.293416350813686,5.840311774828875,-1.3786388000398815
2023-08-01,19.735536123358518,17.709409163696776,21.59475678480019,5.845959768396545,2.3759274619112998
2023-09-01,14.211229304174134,12.166509526447173,15.996749562524473,5.851607761964214,1.4286025110138003
2023-10-01,23.883880443920905,21.974675669808793,25.78696939442678,5.857073561528706,-2.8154304703600292
2023-11-01,26.427824802393303,24.474012579351523,28.28901645015304,5.8627215525567165,-2.385440226268654
2023-12-01,21.877428255253186,20.025289782677984,23.91263537197197,5.86819256181128,-3.1650769837832957
2024-01-01,14.474290183339267,12.575010283044259,16.32621852062775,5.873845938340021,1.4641930236647944
2024-02-01,12.033607289336185,9.971076370188385,13.844502564957383,5.87981155609017,1.046597441863942
2024-03-01,13.183754239147396,11.366229676723528,15.19086547709049,5.8853990806650796,1.2400782102371153
2024-04-01,16.809825653808186,14.821600191075134,18.63479094455197,5.891941687355259,1.8530196912647459
2024-05-01,15.430652450327129,13.467445242512039,17.40013387341437,5.898703959873062,1.6159394598028258
2024-06-01,18.802904889628834,16.933584627830715,20.70201329431084,5.9881477002541335,2.1400202250907823
2024-07-01,17.640064255632986,15.781936742390775,19.44498734087426,6.075572260817006,-2.122610521359527
2024-08-01,17.747524883309964,15.870344907214832,19.77513767503631,6.166445141192445,1.8780803975299798
2024-09-01,21.33399993407394,19.400436964525877,23.013378911452904,6.267659379389478,2.40382248662531
2024-10-01,22.424728508341058,20.59886804019868,24.417584930744894,6.365608642160803,-3.3704203092955805
2024-11-01,32.77260440557471,30.944128362181008,34.80070335037008,6.466917880537217,-1.8254827524083597
2024-12-01,20.332037713936035,18.535265025964332,22.182592129757886,6.5650848919575555,-3.7962189995530915
2025-01-01,14.707238519056112,12.977008931370941,16.607549984515455,6.666524140445268,1.2061329426272493
2025-02-01,20.199546680955628,18.171751747468587,22.109641378660623,6.7679634900617565,1.9845826902903858
2025-03-01,16.28635687823013,14.252779512026718,18.16936498197878,6.859587686680827,1.3742472029117927
2025-04-01,20.654549393470457,18.650206055943325,22.614525957970134,6.961028766224564,1.967169090535567
2025-05-01,18.138968512510903,16.24546078325536,19.989629288694736,7.059197556261413,1.5695510527852963
2025-06-01,20.7821040765252,18.87088812191213,22.68168709220727,7.16063863929949,1.9022696331117008
2025-07-01,22.835613023796565,20.91785177736601,24.851515698286814,7.25880742933634,-1.8801332899000425
2025-08-01,22.459808253325797,20.464668645010605,24.403804920138324,7.360248512374417,2.0515013474837493
2025-09-01,22.992420330958495,21.136674462355813,24.881653862373227,7.461689595412495,2.081395981024782
2025-10-01,28.006503489078746,26.03228566243261,30.044060216058313,7.5598583854493455,-3.18858105091722
2025-11-01,37.383561571387986,35.31737384568809,39.27802264705814,7.661299468487421,-2.0136816620937674
2025-12-01,25.638052784163584,23.72954493255857,27.542661750792206,7.759468258524271,-3.589115210471317
2026-01-01,18.074526354830112,16.177929733618992,19.965296520974878,7.860909341562349,1.2992920500006448
2026-02-01,21.282445858825024,19.275956328959474,23.160745190340045,7.962350424600427,1.6728848548377016
2026-03-01,20.240446551285213,18.247021393684268,22.24635865847552,8.053974628634819,1.513100361568441
2026-04-01,25.11198385011217,23.195696127265514,27.13087775488681,8.155415711672898,2.0791788840597336
2026-05-01,20.793609007231982,18.939827456518604,22.827831900417944,8.253584501709746,1.519342838608431
2026-06-01,22.287079233668596,20.341574790831018,24.307146328675096,8.355025584747825,1.6675058032561698
