k,inertia,silhouette,calinski,davies_bouldin
2,14628.46019324195,0.2482523307749584,132.58226873942075,1.5261495288658196
3,13257.929539042387,0.26706151026077973,121.80749301669269,1.4807408959929698
4,12052.700697654971,0.15205331751322515,120.62941849643455,1.992825796298323
5,11209.390757501653,0.15115119121398063,114.87366501479342,1.8060521717787246
6,10456.755704878418,0.15987880066312365,111.94023677686593,1.6557769088403917
7,9791.23472160943,0.15068732478279961,110.15560860299176,1.6779231843918974
8,9129.559608578671,0.154803009825588,110.86618357936264,1.480739907052513
9,8623.605413705733,0.14821505384011233,109.46178121948962,1.4403638951962958
