k,ari_mean,ari_std
2,0.6920915844732598,0.4057350883945229
3,0.5288368714682483,0.3119984879712574
4,0.6868998572032712,0.18016321444866287
5,0.5707418200323774,0.1315925845259559
6,0.4022365590441853,0.13906010707725744
7,0.6130120329560896,0.20935533483607113
8,0.5368546134998216,0.12512512487528657
9,0.7219979637500686,0.14012107896671375
