brand_id_1,brand_id_2,shared_subcat_n,shared_keyword_n,avg_price_gap
aisyoko,syokami,1,0,21.240000000000002
aisyoko,wangmazi,1,0,13.75
amorston,astercook,1,0,3.4849999999999994
amorston,carote,1,0,16.514999999999993
amorston,cokinutvalleyus,1,0,12.505000000000003
amorston,cuisinart,1,0,13.940000000000005
amorston,cutluxe,1,0,4.0149999999999935
amorston,d.perlla,1,0,2.5150000000000006
amorston,emojoy,1,0,16.514999999999993
amorston,fohere,1,0,16.505000000000003
amorston,hampton forge,1,0,3.085000000000001
amorston,henckels,1,0,0.4799999999999969
amorston,hoshanho,1,0,10.515
amorston,huusk,1,0,3.4849999999999994
amorston,imarku,1,0,1.5150000000000006
amorston,katisun,1,0,3.4849999999999994
amorston,keemake,1,0,17.985
amorston,kuisine,1,0,16.514999999999993
amorston,mac knife,1,0,19.025
amorston,marco almond,1,0,1.5150000000000006
amorston,mccook,1,0,0.48499999999999943
amorston,oster,1,0,17.645000000000003
amorston,paudin,1,0,10.490000000000002
amorston,retrosohoo,1,0,12.985
amorston,shan zu,1,0,7.484999999999999
amorston,styled settings,1,0,6.484999999999999
amorston,syokami,1,0,14.005000000000003
amorston,wangmazi,1,0,6.515000000000001
astercook,carote,1,0,19.999999999999993
astercook,cokinutvalleyus,1,0,9.020000000000003
astercook,d.perlla,1,0,6.0
astercook,emojoy,1,0,19.999999999999993
astercook,fohere,1,0,19.990000000000002
astercook,hampton forge,1,0,0.3999999999999986
astercook,katisun,1,0,0.0
astercook,kuisine,1,0,19.999999999999993
astercook,marco almond,1,0,5.0
astercook,oster,1,0,14.160000000000004
astercook,retrosohoo,1,0,9.5
astercook,shan zu,1,0,4.0
astercook,syokami,1,0,17.490000000000002
astercook,wangmazi,1,0,10.0
carote,cokinutvalleyus,1,0,29.019999999999996
carote,cuisinart,1,0,30.455
carote,cutluxe,1,0,12.5
carote,d.perlla,1,0,13.999999999999993
carote,emojoy,1,0,0.0
carote,fohere,1,0,0.009999999999990905
carote,hampton forge,1,0,19.599999999999994
carote,henckels,1,0,16.99499999999999
carote,hoshanho,1,0,5.999999999999993
carote,huusk,1,0,19.999999999999993
carote,imarku,1,0,14.999999999999993
carote,katisun,1,0,19.999999999999993
carote,keemake,1,0,34.49999999999999
carote,kuisine,1,0,0.0
carote,mac knife,1,0,2.510000000000005
carote,marco almond,1,0,14.999999999999993
carote,mccook,1,0,16.999999999999993
carote,oster,1,0,34.16
carote,paudin,1,0,27.004999999999995
carote,retrosohoo,1,0,29.499999999999993
carote,shan zu,1,0,23.999999999999993
carote,styled settings,1,0,22.999999999999993
carote,syokami,1,0,2.509999999999991
carote,wangmazi,1,0,9.999999999999993
cokinutvalleyus,cuisinart,1,0,1.4350000000000023
cokinutvalleyus,cutluxe,1,0,16.519999999999996
cokinutvalleyus,d.perlla,1,0,15.020000000000003
cokinutvalleyus,emojoy,1,0,29.019999999999996
cokinutvalleyus,fohere,1,0,29.010000000000005
cokinutvalleyus,hampton forge,1,0,9.420000000000002
cokinutvalleyus,henckels,1,0,12.025000000000006
cokinutvalleyus,hoshanho,1,0,23.020000000000003
cokinutvalleyus,huusk,1,0,9.020000000000003
cokinutvalleyus,imarku,1,0,14.020000000000003
cokinutvalleyus,katisun,1,0,9.020000000000003
cokinutvalleyus,keemake,1,0,5.479999999999997
cokinutvalleyus,kuisine,1,0,29.019999999999996
cokinutvalleyus,mac knife,1,0,31.53
cokinutvalleyus,marco almond,1,0,14.020000000000003
cokinutvalleyus,mccook,1,0,12.020000000000003
cokinutvalleyus,oster,1,0,5.140000000000001
cokinutvalleyus,paudin,1,0,2.0150000000000006
cokinutvalleyus,retrosohoo,1,0,0.4799999999999969
cokinutvalleyus,shan zu,1,0,5.020000000000003
cokinutvalleyus,styled settings,1,0,6.020000000000003
cokinutvalleyus,syokami,1,0,26.510000000000005
cokinutvalleyus,wangmazi,1,0,19.020000000000003
cuisinart,d.perlla,1,0,16.455000000000005
cuisinart,emojoy,1,0,30.455
cuisinart,fohere,1,0,30.445000000000007
cuisinart,katisun,1,0,10.455000000000005
cuisinart,kuisine,1,0,30.455
cuisinart,marco almond,1,0,15.455000000000005
cuisinart,oster,1,0,3.7049999999999983
cuisinart,retrosohoo,1,0,0.9550000000000054
cuisinart,shan zu,1,0,6.455000000000005
cuisinart,syokami,1,0,27.945000000000007
cuisinart,wangmazi,1,0,20.455000000000005
cutluxe,d.perlla,1,0,1.499999999999993
cutluxe,emojoy,1,0,12.5
cutluxe,fohere,1,0,12.490000000000009
cutluxe,hampton forge,1,0,7.099999999999994
cutluxe,katisun,1,0,7.499999999999993
