material_id,material_display_cn
440c,440C
aus10,AUS-10
aus8,AUS-8
carbon_steel,碳钢
d2,D2
damascus,大马士革
german_steel,德国钢
high_carbon,高碳钢
powder_steel,粉末钢
stainless,不锈钢
vg10,VG10
x50crmov15,X50CrMoV15
