keyword_id,product_id,search_rank,is_sponsored,is_best_seller,is_amazon_choice
mccook knife set,B0CYNVKF7N,95,0,0,0
mccook knife set,B0DGWMNZJP,99,0,0,0
mccook knife set,B0B41YBLF7,109,0,0,0
mccook knife set,B0D944SYMB,111,0,0,0
mccook knife set,B07XQN2T36,116,0,0,0
mccook knife set,B0DTWWS6LD,120,0,0,0
mccook knife set,B0DH3K1KK5,121,0,0,0
mccook knife set,B0DCX5P4QQ,122,0,0,0
mccook knife set,B0DLH58TSK,124,0,0,0
mccook knife set,B0BFH6ZWWB,126,0,0,0
mccook knife set,B0F5W992LB,130,0,0,0
mccook knife set,B0DPF66VGH,132,0,0,0
mccook knife set,B0CG6BVDQC,134,0,0,0
mccook knife set,B0FCD8J1FV,144,0,0,0
mccook knife set,B0B6PKCXPL,146,0,0,0
mccook knife set,B0DZ5X35RZ,148,0,0,0
mccook knife set,B0F4D2PCSG,149,0,0,0
mccook knife set,B0BV5PYV67,152,0,0,0
mccook knife set,B0C9RB4KZD,153,0,0,0
mccook knife set,B0F9KVH8JK,164,0,0,0
mccook knife set,B0F8ZJPX89,165,0,0,0
mccook knife set,B0FJGDF1CS,166,0,0,0
mccook knife set,B0FQBRVYKL,169,0,0,0
mccook knife set,B0FF925BQL,173,0,0,0
mccook knife set,B0DBHLFR7S,175,0,0,0
mccook knife set,B0C65XF3HN,176,0,0,0
mccook knife set,B0F43VSXFN,182,0,0,0
mccook knife set,B0F332XQS4,186,0,0,0
mccook knife set,B09WGXN7XV,188,0,0,0
mccook knife set,B0D41P3HKS,192,0,0,0
mccook knife set,B0CYCF1FCK,208,0,0,0
mccook knife set,B0DGGLRDZP,210,0,0,0
mccook knife set,B0DQ264PDV,215,0,0,0
mccook knife set,B0F9KPDCB2,219,0,0,0
mccook knife set,B0D8KYP2YG,220,0,0,0
mccook knife set,B0DKMKXTMM,225,0,0,0
mccook knife set,B09QLTP7N6,226,0,0,0
mccook knife set,B0BJB6MHTQ,228,0,0,0
mccook knife set,B09Z6JXZR8,232,0,0,0
mccook knife set,B08KSKCDX4,234,0,0,0
mccook knife set,B0FLYHKQG8,242,0,0,0
mccook knife set,B0G6WCCXXM,243,0,0,0
mccook kitchen knife,B09G6QX21B,3,0,0,0
mccook kitchen knife,B08FJDVTS2,4,0,0,0
mccook kitchen knife,B0D1Y4J72B,9,0,0,0
mccook kitchen knife,B0BFQLRHTJ,11,0,0,0
mccook kitchen knife,B09DK23PM1,12,0,0,0
mccook kitchen knife,B0BW91HX7D,17,0,0,0
mccook kitchen knife,B0FJ1M2J1S,26,0,0,0
mccook kitchen knife,B0D5X4GRCG,36,0,0,0
mccook kitchen knife,B08GPBSC61,38,0,0,0
mccook kitchen knife,B0DSBJYGHR,58,0,0,0
mccook kitchen knife,B0DP4C28T2,68,0,0,0
mccook kitchen knife,B0CWPCGCX2,69,0,0,0
mccook kitchen knife,B0BGLQW3MT,72,0,0,0
mccook kitchen knife,B0BFH5D4LQ,74,0,0,0
mccook kitchen knife,B0F9SM29R5,75,0,0,0
mccook kitchen knife,B0DT71D3KV,80,0,0,0
mccook kitchen knife,B0FCLHN2PJ,82,0,0,0
mccook kitchen knife,B09XTZXF39,86,0,0,0
mccook kitchen knife,B0DK11DSK5,87,0,0,0
mccook kitchen knife,B0FQ4YPVKC,90,0,0,0
mccook kitchen knife,B0CGKM92PQ,93,0,0,0
mccook kitchen knife,B0DJ71XWCZ,94,0,0,0
mccook kitchen knife,B0DFH18683,100,0,0,0
mccook kitchen knife,B00DAYTSEM,103,0,0,0
mccook kitchen knife,B0DFPBQ82Z,106,0,0,0
mccook kitchen knife,B0B2VS8TDH,107,0,0,0
mccook kitchen knife,B0F2M3YXMY,109,0,0,0
mccook kitchen knife,B0BZQL5HJF,112,0,0,0
mccook kitchen knife,B0DM9DC9ZW,120,0,0,0
mccook kitchen knife,B07L8QTX4C,130,0,0,0
mccook kitchen knife,B0DPZM3T9W,133,0,0,0
mccook kitchen knife,B0DNJVFJGS,134,0,0,0
mccook kitchen knife,B074FD5XHK,139,0,0,0
mccook kitchen knife,B0FFSXPHZC,144,0,0,0
mccook kitchen knife,B0DK8R44GD,148,0,0,0
mccook kitchen knife,B0F9PSPTSC,150,0,0,0
mccook kitchen knife,B083Y587M4,153,0,0,0
mccook kitchen knife,B09DQ9FSBB,161,0,0,0
mccook kitchen knife,B07JB658KV,162,0,0,0
mccook kitchen knife,B09C919JXR,163,0,0,0
mccook kitchen knife,B0DYP24DHR,166,0,0,0
mccook kitchen knife,B0FCBVHD6D,168,0,0,0
mccook kitchen knife,B09RTDZ14W,170,0,0,0
mccook kitchen knife,B0DS63QLYG,171,0,0,0
mccook kitchen knife,B0F8N649LZ,174,0,0,0
mccook kitchen knife,B0FP4P5BQT,181,0,0,0
mccook kitchen knife,B0DM1QVV37,182,0,0,0
mccook kitchen knife,B0FKH7Q1ZN,183,0,0,0
mccook kitchen knife,B0FP2B3RFG,184,0,0,0
mccook kitchen knife,B0DK87WJ39,186,0,0,0
mccook kitchen knife,B0FX1D2TF6,187,0,0,0
mccook kitchen knife,B0F9PVTKS3,189,0,0,0
mccook kitchen knife,B0FY2P71J5,191,0,0,0
mccook kitchen knife,B0FZC8HXSQ,196,0,0,0
mccook knife,B07RTH8LM7,1,0,0,0
mccook knife,B073J61P62,2,0,0,0
mccook knife,B089SQ3CG2,3,0,0,0
mccook knife,B09KTLNZFH,4,0,0,0
mccook knife,B0DDKQ9B7K,5,0,0,0
mccook knife,B09KT6YX71,6,0,0,0
mccook knife,B072B81PLD,7,0,0,0
mccook knife,B083RGV4R1,8,0,0,0
mccook knife,B07HGTGN3K,9,0,0,0
mccook knife,B097GXM3HG,10,0,0,0
mccook knife,B07BK4YVB3,11,0,0,0
mccook knife,B09Y91CSXD,12,0,0,0
mccook knife,B0D2CVPV8K,13,0,0,0
mccook knife,B0DQ8WWPGP,14,0,0,0
mccook knife,B0DQXNCHDX,15,0,0,0
mccook knife,B0FHH525HX,16,0,0,0
mccook knife,B0F9WMG8VG,17,0,0,0
mccook knife,B007RWD11Y,18,0,0,0
mccook knife,B0DYP3J5BW,19,0,0,0
mccook knife,B0F9FCYKJZ,20,0,0,0
mccook knife,B0CKXSGV8F,21,0,0,0
mccook knife,B0FZJ3L1SB,22,0,0,0
mccook knife,B0FC6BDKFG,23,0,0,0
mccook knife,B0F8MLKJMT,24,0,0,0
mccook knife,B007HB2274,25,0,0,0
mccook knife,B0DS2231P6,26,0,0,0
mccook knife,B08FVCDNW1,27,0,0,0
mccook knife,B0DNR2JTX8,28,0,0,0
mccook knife,B0006MM4RE,29,0,0,0
mccook knife,B0F18JYXG2,30,0,0,0
mccook knife,B0DLKJM5H1,31,0,0,0
mccook knife,B0F9KV3KXZ,32,0,0,0
mccook knife,B0006NKY16,33,0,0,0
mccook knife,B0D946LJ39,34,0,0,0
mccook knife,B0CP5QXC1H,35,0,0,0
mccook knife,B000N5BUWY,36,0,0,0
mccook knife,B000RKS1YK,37,0,0,0
mccook knife,B07KC949P2,38,0,0,0
mccook knife,B0D2HYQZGC,39,0,0,0
mccook knife,B07Q1FFC65,40,0,0,0
mccook knife,B0BLVB4VNC,41,0,0,0
mccook knife,B0DBVHF1FT,42,0,0,0
mccook knife,B000N5BV5K,43,0,0,0
mccook knife,B00DAYTSEM,44,0,0,0
mccook knife,B0F9JZV55F,45,0,0,0
mccook knife,B088KHCNKS,46,0,0,0
mccook knife,B0FQMJQM6Y,47,0,0,0
mccook knife,B0DHKV296C,48,0,0,0
mccook knife,B0DFZG4CR3,49,0,0,0
mccook knife,B0DWSWPZ5Y,50,0,0,0
mccook knife,B0CCV7SFQZ,51,0,0,0
mccook knife,B091F7LK55,52,0,0,0
mccook knife,B0FQ4YPVKC,53,0,0,0
mccook knife,B0D5X4GRCG,54,0,0,0
mccook knife,B083NPV1H3,55,0,0,0
mccook knife,B0DSBJYGHR,56,0,0,0
mccook knife,B0CYNVKF7N,57,0,0,0
mccook knife,B0DJ71XWCZ,58,0,0,0
mccook knife,B0FLXBXVWN,59,0,0,0
mccook knife,B0DT6G3SZM,60,0,0,0
mccook knife,B0DP4C28T2,61,0,0,0
mccook knife,B0FCD8J1FV,62,0,0,0
mccook knife,B0F8ZJPX89,63,0,0,0
mccook knife,B0CWPCGCX2,64,0,0,0
mccook knife,B0DGWMNZJP,65,0,0,0
mccook knife,B0CL96FX6Q,66,0,0,0
mccook knife,B0B41YBLF7,67,0,0,0
mccook knife,B0DH3K1KK5,68,0,0,0
mccook knife,B08GPBSC61,69,0,0,0
mccook knife,B0D149W1ZQ,70,0,0,0
mccook knife,B0DB7Y69T4,71,0,0,0
mccook knife,B0DZ5X35RZ,72,0,0,0
mccook knife,B0F43VSXFN,73,0,0,0
mccook knife,B0BV5PYV67,74,0,0,0
mccook knife,B07BJZ8WSP,75,0,0,0
mccook knife,B08YXRRTHV,76,0,0,0
mccook knife,B0F2M3YXMY,77,0,0,0
mccook knife,B07L8QTX4C,78,0,0,0
