knife_type_id,knife_type_display_cn
block,刀座/刀架（Block）
boning,剔骨刀（Boning）
bread,面包刀（Bread）
carving,切片刀（Carving）
chef,主厨刀（Chef）
cleaver,斩切两用刀/菜刀（Cleaver）
fillet,片鱼刀（Fillet）
nakiri,菜切/中式切菜刀（Nakiri）
paring,削皮刀（Paring）
santoku,三德刀（Santoku）
set,套装（Set）
steak,牛排刀（Steak）
utility,多用刀（Utility）
