asin,sample_review_n,avg_review_rating_sample,review_rating_std_sample,verified_ratio,helpful_sum,helpful_mean,has_text_ratio,avg_text_len,first_review_date,last_review_date,scrape_cap_10_flag,scrape_cap_100_flag,brand,brand_norm,price_num,bsr_rank,is_fba,has_aplus,image_count,best_subcat_rank,best_subcat_name,bought_count_number_clean
B0DZHL47FD,10,4.2,1.0327955589886444,0.9,3,0.3,1.0,168.2,2025-11-08,2025-12-30,1,0,Emojoy,emojoy,89.99,39297.0,False,True,10,,,600.0
B0F1N3QFGR,10,4.9,0.31622776601683794,0.6,0,0.0,1.0,219.0,2025-08-31,2026-01-05,1,0,imarku,imarku,37.99,49142.0,True,True,9,85.0,Knife Blocks,
B0F3KWZQ61,10,4.0,1.632993161855452,0.8,1,0.1,1.0,354.7,2025-12-29,2026-01-08,1,0,Yatoshi Knives,yatoshi knives,199.99,8112.0,True,True,9,,,1000.0
B0F4R9ZJCC,3,5.0,0.0,0.6666666666666666,0,0.0,1.0,188.66666666666666,2026-01-03,2026-01-05,0,0,imarku,imarku,79.99,2458.0,True,True,9,1.0,Santoku Knives,
B0F93Y59S6,10,5.0,0.0,0.2,4,0.4,1.0,505.0,2025-11-21,2026-01-01,1,0,WICKWILLOW,wickwillow,61.25,34111.0,True,True,9,107.0,Chef's Knives,
B0F9FCYKJZ,10,4.7,0.6749485577105528,0.9,1,0.1,1.0,183.0,2026-01-01,2026-01-07,1,0,HOSHANHO,hoshanho,126.62,13446.0,False,True,10,,,1000.0
B0F9WMG8VG,10,4.6,1.2649110640673518,0.8,6,0.6,1.0,444.3,2025-12-06,2026-01-03,1,0,imarku,imarku,39.98,7853.0,True,True,10,,,600.0
B0F9XVDV1M,10,5.0,0.0,0.5,1,0.1,1.0,535.5,2025-12-07,2026-01-06,1,0,imarku,imarku,30.38,49437.0,True,True,9,180.0,Bread Knives,
B0F9XXZ3QV,10,4.9,0.31622776601683794,0.3,3,0.3,1.0,546.1,2025-10-20,2025-12-27,1,0,DiiHAUZZ,diihauzz,23.99,54516.0,True,True,9,185.0,Chef's Knives,
B0FBX4HGT3,10,3.9,1.449137674618944,1.0,2,0.2,1.0,124.1,2025-09-15,2025-12-14,1,0,imarku,imarku,,323284.0,True,True,9,1666.0,Kitchen Knife Sets,
B0FC6BDKFG,10,4.7,0.6749485577105528,1.0,0,0.0,1.0,193.0,2025-09-09,2025-12-11,1,0,imarku,imarku,109.99,112593.0,True,True,9,,,50.0
B0FC6KMLJW,10,5.0,0.0,0.7,0,0.0,1.0,68.4,2024-09-29,2025-10-22,1,0,imarku,imarku,69.99,164768.0,True,True,9,341.0,Steak Knife Sets,
B0FC6RG41K,10,4.4,1.3498971154211057,1.0,0,0.0,1.0,127.0,2026-01-02,2026-01-06,1,0,SYOKAMI,syokami,63.99,4445.0,True,True,9,5.0,Kitchen Knife Sets,
B0FGXRJ48T,10,5.0,0.0,0.9,0,0.0,1.0,100.4,2025-12-20,2026-01-06,1,0,SHAN ZU,shan zu,79.98,17068.0,True,True,9,2.0,Sashimi Knives,
B0FHPRVY4L,10,5.0,0.0,0.3,0,0.0,1.0,558.6,2025-11-11,2026-01-01,1,0,BOMASS,bomass,45.99,95879.0,True,True,9,247.0,Kitchen Knife Sets,
B0FL24KL7R,2,5.0,0.0,1.0,1,0.5,1.0,110.5,2025-12-03,2025-12-09,0,0,imarku,imarku,99.99,459983.0,True,True,9,824.0,Bread Knives,
B0FMH2Q911,10,5.0,0.0,1.0,5,0.5,1.0,244.9,2025-10-08,2026-01-08,1,0,CUISINE::PRO,cuisine::pro,219.99,35832.0,True,True,10,,,200.0
B0FNWWWM3R,10,4.9,0.31622776601683794,0.7,1,0.1,1.0,205.7,2025-12-17,2026-01-06,1,0,Emojoy,emojoy,33.99,58202.0,True,True,9,29.0,Carving Knives,
B0FQV9D497,10,4.6,1.2649110640673518,0.6,2,0.2,1.0,351.1,2025-11-28,2026-01-07,1,0,Haugo,haugo,39.98,28647.0,True,True,9,209.0,Chef's Knives,
B0FR1NHMJQ,10,4.9,0.31622776601683794,0.3,0,0.0,1.0,617.8,2025-12-08,2026-01-05,1,0,Livtek,livtek,107.99,20662.0,True,True,9,80.0,Block Knife Sets,
B0FR46S7XW,4,5.0,0.0,0.25,0,0.0,1.0,132.0,2025-09-25,2025-11-17,0,0,imarku,imarku,24.99,485900.0,True,True,8,282.0,Carving Sets,
B0FRM53T6N,10,4.7,0.6749485577105528,0.0,1,0.1,1.0,565.7,2025-12-04,2026-01-07,1,0,HOSHANHO,hoshanho,79.99,10439.0,True,True,9,39.0,Chef's Knives,
B0FX8D4RCC,10,4.7,0.9486832980505138,1.0,1,0.1,1.0,242.2,2025-12-18,2026-01-07,1,0,imarku,imarku,174.99,38066.0,True,True,9,2.0,Deba Knives,
B0FXG82C8S,1,5.0,,1.0,0,0.0,1.0,201.0,2026-01-01,2026-01-01,0,0,imarku,imarku,99.99,157699.0,True,True,9,,,
B0FXGRC4PH,9,4.888888888888889,0.33333333333333337,0.5555555555555556,0,0.0,1.0,227.88888888888889,2025-10-19,2026-01-04,0,0,imarku,imarku,99.99,157673.0,True,True,9,,,50.0
B0FXMCV6NC,1,5.0,,0.0,1,1.0,1.0,294.0,2025-11-16,2025-11-16,0,0,imarku,imarku,151.99,496742.0,True,True,8,,,
B0FXMFSJC6,10,4.2,1.6865480854231356,1.0,1,0.1,1.0,81.6,2025-12-20,2026-01-04,1,0,imarku,imarku,119.99,97411.0,True,True,9,89.0,Meat Cleavers,
B0FXMP8ZWZ,9,5.0,0.0,0.2222222222222222,1,0.1111111111111111,1.0,708.7777777777778,2025-11-24,2026-01-06,0,0,imarku,imarku,38.99,1539055.0,True,True,3,518.0,Steak Knives,
B0FYFXX7GP,6,5.0,0.0,0.3333333333333333,0,0.0,1.0,130.83333333333334,2025-11-20,2026-01-06,0,0,imarku,imarku,179.99,135599.0,True,True,9,423.0,Block Knife Sets,
